p_sat,temperature,gamma_s,API,Rs,Bo_psat,Bg_psat,visc_o_psat,source,gamma_c,HGOR
2265.0,165.0,0.9264513719512196,37.13,656.0,1.3793,,0.74,PVT_Data,0.9180385400861673,False
3280.0,280.0,0.8721458046767537,43.3,1454.0,2.008,,0.139,PVT_Data,0.8629100662634145,False
3722.0,270.0,0.9681445936820593,44.4,2205.9741313164527,2.4543779368789083,,0.127,PVT_Data,0.9576318076293974,True
3697.0,270.0,0.9817244959707582,44.2,2185.1652241112824,2.6244769978515015,,0.0899,PVT_Data,0.9711122690387088,True
3066.0,270.0,0.971,41.8,1317.9111629386198,1.9114061086963996,,0.15531206651272,PVT_Data,0.9610736372268118,False
2944.0,270.0,0.9928381965797272,42.5,1300.3197900526727,1.919805431902326,,0.1363,PVT_Data,0.9825186161920503,False
2923.0,270.0,0.9569442710617229,42.6,1220.3824306769673,1.8679349568299397,,0.183,PVT_Data,0.9469743693400023,False
3789.0,270.0,0.911,46.08818844221105,2716.028411900885,2.8817680081356842,,0.1674,PVT_Data,0.9007316031149458,True
2356.0,234.0,1.05,42.5,997.0,1.6846951018052452,,0.232,PVT_Data,1.0390862786661628,False
2212.0,234.0,1.042,41.8,847.1050703327941,1.5865404013686017,,0.245,PVT_Data,1.0313478166738805,False
3310.0,240.0,0.849,44.7,1471.8214907124384,1.93272514077489,,0.128,PVT_Data,0.839718677899484,False
3067.0,242.0,0.916,40.9,1195.9951434878585,1.7486462426644702,,0.176,PVT_Data,0.9068375121223662,False
3149.0,241.0,0.8890290585399843,42.8,1302.9698972755696,1.8582176927835234,,0.156,PVT_Data,0.8797232447757083,False
3005.0,242.0,0.907838567622585,44.9,1290.7743124026983,1.8594969644768309,,0.147,PVT_Data,0.8978696134102125,False
3609.0,240.0,0.9967957472781032,41.4,1830.0,2.2355892603576124,,0.1356742554681523,PVT_Data,0.9867031917168828,False
